iter	Passed	Remaining
248	4707	14197
249	4720	14161
250	4732	14121
251	4752	14106
252	4768	14078
253	4781	14043
254	4794	14007
255	4807	13972
256	4819	13932
257	4830	13893
258	4841	13852
259	4865	13849
260	4880	13817
261	4911	13834
262	4923	13797
263	4933	13753
264	4943	13710
265	4967	13708
266	4977	13665
267	4988	13624
268	5006	13604
269	5019	13570
270	5051	13588
271	5061	13546
272	5071	13504
273	5081	13464
274	5091	13423
275	5101	13381
276	5110	13340
277	5121	13300
278	5131	13259
279	5140	13219
280	5150	13178
281	5160	13138
282	5170	13098
283	5179	13059
284	5189	13018
285	5199	12981
286	5209	12942
287	5219	12903
288	5229	12865
289	5239	12828
290	5292	12894
291	5308	12871
292	5321	12840
293	5332	12804
294	5354	12797
295	5365	12762
296	5385	12747
297	5395	12710
298	5414	12694
299	5426	12660
300	5437	12626
301	5462	12625
302	5474	12593
303	5486	12560
304	5496	12525
305	5507	12489
306	5529	12482
307	5541	12449
308	5551	12413
309	5560	12377
310	5570	12341
311	5581	12307
312	5600	12291
313	5614	12265
314	5624	12230
315	5634	12196
316	5680	12238
317	5704	12234
318	5722	12216
319	5734	12186
320	5750	12164
321	5765	12139
322	5775	12105
323	5794	12089
324	5804	12054
325	5814	12020
326	5828	11995
327	5837	11960
328	5847	11926
329	5857	11893
330	5868	11860
331	5878	11827
332	5888	11795
333	5899	11762
334	5909	11729
335	5948	11754
336	5964	11733
337	5978	11709
338	5993	11686
339	6008	11662
340	6019	11632
341	6042	11625
342	6053	11594
343	6071	11578
344	6082	11547
345	6131	11589
346	6149	11572
347	6164	11550
348	6175	11518
349	6188	11492
350	6198	11461
351	6208	11429
352	6249	11454
353	6259	11422
354	6281	11412
355	6291	11381
356	6310	11366
357	6321	11336
358	6332	11306
359	6342	11275
360	6353	11246
361	6369	11225
362	6383	11202
363	6394	11172
364	6404	11141
365	6414	11112
366	6425	11081
367	6436	11054
368	6463	11052
369	6477	11028
370	6488	11000
371	6498	10971
372	6509	10942
373	6520	10913
374	6545	10908
375	6558	10885
376	6568	10855
377	6578	10825
378	6589	10796
379	6617	10796
380	6631	10773
381	6640	10743
382	6650	10713
383	6660	10683
384	6674	10662
385	6685	10633
386	6695	10606
387	6706	10578
388	6722	10558
389	6748	10555
390	6774	10550
391	6784	10523
392	6803	10508
393	6814	10481
394	6848	10488
395	6862	10467
396	6882	10454
397	6897	10433
398	6911	10411
399	6926	10389
400	6936	10361
401	6947	10334
402	6970	10325
403	6983	10303
404	6998	10282
405	7009	10254
406	7031	10245
407	7046	10223
408	7061	10203
409	7076	10182
410	7090	10161
411	7101	10135
412	7112	10109
413	7123	10082
414	7159	10092
415	7169	10065
416	7179	10038
417	7190	10011
418	7207	9993
419	7217	9966
420	7237	9953
421	7267	9953
422	7281	9932
423	7301	9918
424	7316	9898
425	7351	9905
426	7378	9900
427	7388	9874
428	7407	9859
429	7422	9839
430	7433	9813
431	7463	9813
432	7474	9787
433	7493	9772
434	7504	9747
435	7522	9730
436	7537	9710
437	7551	9689
438	7561	9663
439	7581	9648
440	7615	9653
441	7632	9635
442	7645	9613
443	7689	9629
444	7699	9603
445	7710	9578
446	7743	9579
447	7753	9553
448	7767	9532
449	7784	9514
450	7822	9522
451	7838	9502
452	7849	9478
453	7881	9478
454	7896	9458
455	7908	9435
456	7926	9417
457	7954	9413
458	7982	9408
459	7995	9386
460	8008	9363
461	8041	9363
462	8055	9342
463	8075	9328
464	8101	9321
465	8128	9315
466	8156	9308
467	8170	9287
468	8184	9266
469	8196	9242
470	8214	9225
471	8226	9202
472	8236	9176
473	8255	9160
474	8265	9135
475	8299	9136
476	8315	9117
477	8327	9094
478	8338	9069
479	8357	9054
480	8372	9033
481	8387	9014
482	8406	8998
483	8420	8977
484	8454	8977
485	8466	8953
486	8485	8938
487	8501	8919
488	8518	8901
489	8533	8881
490	8546	8859
491	8576	8855
492	8591	8835
493	8622	8831
494	8634	8809
495	8649	8789
496	8664	8769
497	8675	8744
498	8693	8727
499	8702	8702
500	8722	8687
501	8733	8664
502	8753	8649
503	8764	8625
504	8775	8601
505	8787	8578
506	8797	8554
507	8807	8530
508	8826	8513
509	8845	8498
510	8856	8474
511	8866	8450
512	8876	8426
513	8887	8403
514	8898	8379
515	8949	8394
516	8969	8379
517	8984	8360
518	8994	8335
519	9004	8311
520	9014	8287
521	9024	8263
522	9041	8245
523	9050	8221
524	9060	8197
525	9070	8173
526	9079	8149
527	9089	8125
528	9100	8102
529	9109	8078
530	9119	8054
531	9130	8031
532	9158	8024
533	9168	8000
534	9177	7977
535	9187	7953
536	9197	7930
537	9207	7906
538	9217	7883
539	9226	7860
540	9236	7836
541	9246	7813
542	9256	7790
543	9265	7766
544	9275	7743
545	9285	7720
546	9294	7697
547	9304	7674
548	9315	7652
549	9325	7629
550	9334	7606
551	9344	7583
552	9354	7561
553	9364	7538
554	9373	7515
555	9383	7493
556	9392	7470
557	9402	7447
558	9411	7424
559	9422	7403
560	9431	7380
561	9449	7364
562	9459	7342
563	9468	7319
564	9478	7297
565	9488	7275
566	9498	7253
567	9508	7231
568	9526	7216
569	9536	7193
570	9546	7172
571	9557	7151
572	9567	7129
573	9583	7112
574	9593	7090
575	9603	7069
576	9627	7057
577	9637	7036
578	9647	7014
579	9672	7003
580	9681	6982
581	9691	6960
582	9700	6938
583	9710	6917
584	9720	6895
585	9729	6874
586	9739	6852
587	9749	6831
588	9758	6809
589	9768	6788
590	9777	6766
591	9787	6745
592	9797	6724
593	9806	6702
594	9816	6681
595	9825	6660
596	9835	6639
597	9845	6618
598	9855	6597
599	9865	6576
600	9875	6556
601	9884	6535
602	9894	6514
603	9904	6493
604	9914	6473
605	9924	6452
606	9933	6431
607	9942	6410
608	9953	6390
609	9962	6369
610	9972	6349
611	9981	6328
612	9991	6307
613	10001	6287
614	10011	6267
615	10021	6246
616	10031	6227
617	10041	6206
618	10073	6200
619	10083	6180
620	10093	6160
621	10103	6140
622	10113	6120
623	10123	6099
624	10133	6079
625	10142	6059
626	10152	6039
627	10162	6019
628	10172	5999
629	10181	5979
630	10191	5960
631	10201	5940
632	10211	5920
633	10221	5900
634	10231	5881
635	10241	5861
636	10250	5841
637	10260	5821
638	10270	5802
639	10304	5796
640	10314	5776
641	10324	5757
642	10334	5737
643	10344	5718
644	10354	5699
645	10364	5679
646	10383	5665
647	10394	5646
648	10403	5626
649	10413	5607
650	10423	5587
651	10433	5568
652	10442	5549
653	10452	5530
654	10462	5510
655	10472	5491
656	10481	5472
657	10491	5453
658	10501	5434
659	10511	5415
660	10521	5396
661	10531	5377
662	10541	5358
663	10551	5339
664	10561	5320
665	10572	5301
666	10582	5283
667	10593	5265
668	10602	5245
669	10612	5227
670	10622	5208
671	10632	5189
672	10641	5170
673	10651	5151
674	10661	5133
675	10671	5114
676	10680	5095
677	10690	5077
678	10700	5058
679	10709	5039
680	10719	5021
681	10729	5002
682	10775	5001
683	10799	4989
684	10815	4973
685	10827	4956
686	10837	4937
687	10847	4919
688	10857	4900
689	10866	4882
690	10876	4863
691	10886	4845
692	10895	4826
693	10905	4808
694	10914	4790
695	10924	4771
696	10934	4753
697	10943	4734
698	10953	4716
699	10963	4698
700	10973	4680
701	10983	4662
702	10993	4644
703	11003	4626
704	11013	4608
705	11023	4590
706	11033	4572
707	11043	4554
708	11053	4536
709	11062	4518
710	11072	4500
711	11082	4482
712	11092	4464
713	11102	4447
714	11112	4429
715	11122	4411
716	11132	4393
717	11142	4376
718	11152	4358
719	11162	4340
720	11172	4323
721	11182	4305
722	11192	4288
723	11202	4270
724	11212	4253
725	11223	4235
726	11232	4218
727	11242	4200
728	11252	4182
729	11261	4165
730	11271	4147
731	11282	4130
732	11292	4113
733	11302	4095
734	11311	4078
735	11322	4061
736	11331	4043
737	11342	4026
738	11373	4016
739	11383	3999
740	11392	3982
741	11403	3965
742	11412	3947
743	11422	3930
744	11445	3917
745	11455	3900
746	11465	3883
747	11475	3865
748	11485	3848
749	11495	3831
750	11505	3814
751	11515	3797
752	11524	3780
753	11534	3763
754	11543	3746
755	11553	3728
756	11564	3712
757	11575	3695
758	11586	3678
759	11596	3662
760	11606	3645
761	11615	3628
762	11625	3611
763	11634	3594
764	11644	3576
765	11654	3560
766	11664	3543
767	11674	3526
768	11684	3509
769	11693	3492
770	11703	3476
771	11713	3459
772	11722	3442
773	11732	3425
774	11742	3409
775	11752	3392
776	11761	3375
777	11771	3358
778	11781	3342
779	11790	3325
780	11800	3308
781	11822	3295
782	11832	3279
783	11842	3262
784	11852	3246
785	11862	3229
786	11872	3213
787	11882	3196
788	11891	3180
789	11901	3163
790	11918	3149
791	11928	3132
792	11938	3116
793	11947	3099
794	11956	3083
795	11966	3066
796	11976	3050
797	11986	3034
798	11995	3017
799	12005	3001
800	12014	2984
801	12024	2968
802	12034	2952
803	12080	2945
804	12098	2930
805	12116	2916
806	12125	2899
807	12135	2883
808	12145	2867
809	12154	2851
810	12163	2834
811	12173	2818
812	12183	2802
813	12193	2786
814	12203	2770
815	12213	2754
816	12223	2737
817	12232	2721
818	12242	2705
819	12251	2689
820	12261	2673
821	12277	2658
822	12287	2642
823	12296	2626
824	12306	2610
825	12316	2594
826	12326	2578
827	12336	2562
828	12354	2548
829	12364	2532
830	12374	2516
831	12384	2500
832	12394	2484
833	12405	2469
834	12415	2453
835	12430	2438
836	12441	2422
837	12450	2406
838	12460	2391
839	12470	2375
840	12479	2359
841	12489	2343
842	12502	2328
843	12512	2312
844	12522	2296
845	12531	2281
846	12542	2265
847	12553	2250
848	12564	2234
849	12575	2219
850	12598	2205
851	12608	2190
852	12617	2174
853	12627	2158
854	12637	2143
855	12647	2127
856	12668	2113
857	12678	2098
858	12688	2082
859	12697	2067
860	12707	2051
861	12716	2035
862	12745	2023
863	12755	2007
864	12766	1992
865	12775	1976
866	12785	1961
867	12795	1945
868	12808	1930
869	12818	1915
870	12827	1899
871	12837	1884
872	12847	1869
873	12857	1853
874	12867	1838
875	12879	1823
876	12889	1807
877	12899	1792
878	12908	1776
879	12918	1761
880	12928	1746
881	12938	1731
882	12948	1715
883	12960	1700
884	12970	1685
885	12980	1670
886	12989	1654
887	13008	1640
888	13018	1625
889	13028	1610
890	13038	1595
891	13048	1579
892	13057	1564
893	13067	1549
894	13076	1534
895	13086	1518
896	13095	1503
897	13105	1488
898	13116	1473
899	13126	1458
900	13136	1443
901	13145	1428
902	13155	1413
903	13165	1398
904	13175	1383
905	13185	1368
906	13195	1353
907	13205	1338
908	13215	1323
909	13225	1308
910	13235	1292
911	13245	1278
912	13257	1263
913	13267	1248
914	13277	1233
915	13287	1218
916	13298	1203
917	13308	1188
918	13318	1173
919	13327	1158
920	13337	1144
921	13347	1129
922	13357	1114
923	13367	1099
924	13376	1084
925	13386	1069
926	13397	1055
927	13407	1040
928	13426	1026
929	13436	1011
930	13446	996
931	13455	981
932	13465	966
933	13476	952
934	13486	937
935	13506	923
936	13516	908
937	13526	894
938	13536	879
939	13546	864
940	13557	850
941	13567	835
942	13577	820
943	13587	806
944	13598	791
945	13608	776
946	13618	762
947	13628	747
948	13638	732
949	13647	718
950	13657	703
951	13668	689
952	13678	674
953	13687	659
954	13697	645
955	13706	630
956	13716	616
957	13726	601
958	13736	587
959	13745	572
960	13755	558
961	13765	543
962	13774	529
963	13784	514
964	13794	500
965	13804	485
966	13830	471
967	13841	457
968	13850	443
969	13871	429
970	13881	414
971	13891	400
972	13900	385
973	13910	371
974	13920	356
975	13929	342
976	13939	328
977	13949	313
978	13959	299
979	13979	285
980	13988	270
981	13998	256
982	14007	242
983	14022	228
984	14034	213
985	14043	199
986	14053	185
987	14062	170
988	14072	156
989	14082	142
990	14091	127
991	14101	113
992	14111	99
993	14121	85
994	14131	71
995	14141	56
996	14152	42
997	14162	28
998	14172	14
999	14203	0
